<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19840907,000000,0.40934,0.41431,0.40439,0.40934,24044444,0
AAPL.US,D,19840910,000000,0.40934,0.41058,0.39948,0.40689,18662411,0
AAPL.US,D,19840911,000000,0.41058,0.42172,0.41058,0.41431,44007073,0
AAPL.US,D,19840912,000000,0.41431,0.41677,0.40191,0.40191,38443931,0
AAPL.US,D,19840913,000000,0.42422,0.42542,0.42422,0.42422,59875002,0
AAPL.US,D,19840914,000000,0.42542,0.44025,0.42542,0.43037,71292377,0
AAPL.US,D,19840917,000000,0.4415,0.44769,0.4415,0.4415,55663813,0
AAPL.US,D,19840918,000000,0.4415,0.44522,0.42542,0.42542,28100367,0
AAPL.US,D,19840919,000000,0.42542,0.43037,0.41677,0.41677,30694343,0
AAPL.US,D,19840920,000000,0.41802,0.42172,0.41802,0.41802,19108770,0
AAPL.US,D,19840921,000000,0.41802,0.43037,0.40934,0.41431,28831322,0
AAPL.US,D,19840924,000000,0.41431,0.41677,0.41058,0.41058,22815382,0
AAPL.US,D,19840925,000000,0.40934,0.40934,0.40191,0.40191,48166511,0
AAPL.US,D,19840926,000000,0.40191,0.42046,0.39702,0.39702,32046322,0
AAPL.US,D,19840927,000000,0.39702,0.39948,0.39702,0.39702,30590842,0
AAPL.US,D,19840928,000000,0.39702,0.39702,0.37969,0.38706,67404640,0
AAPL.US,D,19841001,000000,0.38587,0.38587,0.37843,0.37843,28236206,0
AAPL.US,D,19841002,000000,0.3809,0.39452,0.3809,0.3809,34148658,0
AAPL.US,D,19841003,000000,0.38706,0.39328,0.38706,0.38706,34776144,0
AAPL.US,D,19841004,000000,0.39201,0.39452,0.39201,0.39201,36238085,0
AAPL.US,D,19841005,000000,0.39201,0.39201,0.3809,0.38338,28177994,0
AAPL.US,D,19841008,000000,0.38338,0.38587,0.38338,0.38338,13565027,0
AAPL.US,D,19841009,000000,0.38338,0.38587,0.37969,0.37969,36173392,0
AAPL.US,D,19841010,000000,0.37969,0.37969,0.36855,0.36855,105363419,0
AAPL.US,D,19841011,000000,0.36855,0.37843,0.36608,0.36608,52778744,0
AAPL.US,D,19841012,000000,0.36608,0.36855,0.34751,0.34998,76758500,0
AAPL.US,D,19841015,000000,0.36976,0.37347,0.36976,0.36976,70250905,0
AAPL.US,D,19841016,000000,0.36976,0.37102,0.36855,0.36855,34083989,0
AAPL.US,D,19841017,000000,0.38338,0.38587,0.38338,0.38338,45236159,0
AAPL.US,D,19841018,000000,0.39452,0.39702,0.39452,0.39452,71376471,0
AAPL.US,D,19841019,000000,0.39452,0.42172,0.39328,0.39452,94178917,0
AAPL.US,D,19841022,000000,0.39452,0.40069,0.39201,0.39201,33139547,0
AAPL.US,D,19841023,000000,0.40069,0.40439,0.40069,0.40069,53839630,0
AAPL.US,D,19841024,000000,0.40439,0.40934,0.40439,0.40439,48231200,0
AAPL.US,D,19841025,000000,0.40439,0.40439,0.38955,0.38955,45676039,0
AAPL.US,D,19841026,000000,0.38955,0.38955,0.37843,0.37969,33165411,0
AAPL.US,D,19841029,000000,0.3809,0.38338,0.3809,0.3809,14625905,0
AAPL.US,D,19841030,000000,0.38587,0.38955,0.38587,0.38587,21541027,0
