<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSFT.US,D,19860313,000000,0.06441,0.07221,0.06441,0.07221,1430666908,0
MSFT.US,D,19860314,000000,0.07221,0.07221,0.07221,0.07221,427291215,0
MSFT.US,D,19860317,000000,0.07221,0.07221,0.07221,0.07221,184653693,0
MSFT.US,D,19860318,000000,0.07221,0.07221,0.07221,0.07221,93964137,0
MSFT.US,D,19860319,000000,0.07221,0.07221,0.07221,0.07221,66409840,0
MSFT.US,D,19860320,000000,0.07221,0.07221,0.06441,0.07221,81025595,0
MSFT.US,D,19860321,000000,0.07221,0.07221,0.06441,0.06441,83182018,0
MSFT.US,D,19860324,000000,0.06441,0.06441,0.06441,0.06441,90529838,0
MSFT.US,D,19860325,000000,0.06441,0.06441,0.06441,0.06441,44486205,0
MSFT.US,D,19860326,000000,0.06441,0.07221,0.06441,0.06441,31547668,0
MSFT.US,D,19860327,000000,0.06441,0.07221,0.06441,0.07221,23361246,0
MSFT.US,D,19860331,000000,0.07221,0.07221,0.06441,0.07221,17850391,0
MSFT.US,D,19860401,000000,0.07221,0.07221,0.06441,0.06441,15374496,0
MSFT.US,D,19860402,000000,0.06441,0.07221,0.06441,0.07221,37457865,0
MSFT.US,D,19860403,000000,0.07221,0.07221,0.07221,0.07221,31947005,0
MSFT.US,D,19860404,000000,0.07221,0.07221,0.07221,0.07221,36858862,0
MSFT.US,D,19860407,000000,0.07221,0.07221,0.06441,0.06441,22961911,0
MSFT.US,D,19860408,000000,0.06441,0.07221,0.06441,0.07221,14216421,0
MSFT.US,D,19860409,000000,0.07221,0.07221,0.07221,0.07221,16852047,0
MSFT.US,D,19860410,000000,0.07221,0.07221,0.07221,0.07221,19248069,0
MSFT.US,D,19860411,000000,0.07221,0.07221,0.07221,0.07221,23880387,0
MSFT.US,D,19860414,000000,0.07221,0.07221,0.07221,0.07221,16852047,0
MSFT.US,D,19860415,000000,0.07221,0.07221,0.07221,0.07221,12898605,0
MSFT.US,D,19860416,000000,0.07221,0.07221,0.07221,0.07221,44246605,0
MSFT.US,D,19860417,000000,0.07221,0.07221,0.07221,0.07221,30509393,0
MSFT.US,D,19860418,000000,0.07221,0.07221,0.07221,0.07221,29990254,0
MSFT.US,D,19860421,000000,0.07221,0.07221,0.07221,0.07221,31787273,0
MSFT.US,D,19860422,000000,0.07221,0.07221,0.07221,0.07221,21564225,0
MSFT.US,D,19860423,000000,0.07221,0.07221,0.07221,0.07221,21644101,0
MSFT.US,D,19860424,000000,0.07221,0.08041,0.07221,0.08041,86456583,0
MSFT.US,D,19860425,000000,0.08041,0.0884,0.08041,0.0884,118962664,0
MSFT.US,D,19860428,000000,0.0884,0.0884,0.08041,0.0884,40053556,0
MSFT.US,D,19860429,000000,0.0884,0.0884,0.08041,0.08041,42050246,0
MSFT.US,D,19860430,000000,0.08041,0.08041,0.08041,0.08041,42848923,0
MSFT.US,D,19860501,000000,0.08041,0.08041,0.08041,0.08041,75355003,0
MSFT.US,D,19860502,000000,0.08041,0.08041,0.08041,0.08041,28073430,0
MSFT.US,D,19860505,000000,0.08041,0.08041,0.08041,0.08041,4512519,0
MSFT.US,D,19860506,000000,0.08041,0.08041,0.08041,0.08041,13497609,0
MSFT.US,D,19860507,000000,0.08041,0.08041,0.08041,0.08041,7148140,0
MSFT.US,D,19860508,000000,0.08041,0.08041,0.08041,0.08041,4911854,0
MSFT.US,D,19860509,000000,0.08041,0.08041,0.08041,0.08041,8426024,0
MSFT.US,D,19860512,000000,0.08041,0.08041,0.08041,0.08041,14535888,0
