<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVDA.US,D,19990122,000000,1.6102,1.7939,1.4257,1.5088,18452588,0
NVDA.US,D,19990125,000000,1.6286,1.6838,1.5088,1.6652,3474456,0
NVDA.US,D,19990126,000000,1.6838,1.7204,1.5183,1.5364,2340648,0
NVDA.US,D,19990127,000000,1.5454,1.5823,1.4536,1.5364,1676739,0
NVDA.US,D,19990128,000000,1.5364,1.5454,1.5183,1.5272,1553153,0
NVDA.US,D,19990129,000000,1.5272,1.5364,1.4536,1.4536,1673148,0
NVDA.US,D,19990201,000000,1.4536,1.4997,1.4536,1.4813,1055217,0
NVDA.US,D,19990202,000000,1.4536,1.4997,1.3249,1.3706,1794456,0
NVDA.US,D,19990203,000000,1.353,1.4171,1.3434,1.3986,522392,0
NVDA.US,D,19990204,000000,1.4171,1.5183,1.3986,1.4718,1252497,0
NVDA.US,D,19990205,000000,1.4997,1.5364,1.4627,1.5183,939130,0
NVDA.US,D,19990208,000000,1.5272,1.5364,1.4627,1.4627,1048695,0
NVDA.US,D,19990209,000000,1.4997,1.5088,1.3891,1.4077,593151,0
NVDA.US,D,19990210,000000,1.4077,1.4442,1.3706,1.3986,1022933,0
NVDA.US,D,19990211,000000,1.3986,1.573,1.3986,1.5183,908476,0
NVDA.US,D,19990212,000000,1.5364,1.6102,1.5364,1.6009,761085,0
NVDA.US,D,19990216,000000,1.6286,1.6925,1.4442,1.6102,1451086,0
NVDA.US,D,19990217,000000,1.573,1.5917,1.4997,1.5272,462066,0
NVDA.US,D,19990218,000000,1.573,1.5917,1.5088,1.5454,493693,0
NVDA.US,D,19990219,000000,1.5364,1.6286,1.5183,1.6009,524674,0
NVDA.US,D,19990222,000000,1.6286,1.6467,1.5272,1.6102,1408368,0
NVDA.US,D,19990223,000000,1.6467,1.7204,1.5547,1.6838,952173,0
NVDA.US,D,19990224,000000,1.9318,2.0147,1.7755,1.8217,4174888,0
NVDA.US,D,19990225,000000,1.8953,1.9596,1.7392,1.7662,1014455,0
NVDA.US,D,19990226,000000,1.7849,1.8401,1.6652,1.6838,1190218,0
NVDA.US,D,19990301,000000,1.7204,1.7662,1.6102,1.6925,629672,0
NVDA.US,D,19990302,000000,1.6838,1.6925,1.6467,1.6745,384783,0
NVDA.US,D,19990303,000000,1.6838,1.6838,1.5547,1.5638,431414,0
NVDA.US,D,19990304,000000,1.6376,1.6467,1.5183,1.5272,406957,0
NVDA.US,D,19990305,000000,1.5454,1.6192,1.5454,1.6102,542609,0
NVDA.US,D,19990308,000000,1.573,1.6838,1.5454,1.6376,530544,0
NVDA.US,D,19990309,000000,1.6376,1.7112,1.6376,1.6925,988044,0
NVDA.US,D,19990310,000000,1.7112,1.7112,1.6376,1.6652,1599455,0
NVDA.US,D,19990311,000000,1.6376,1.6652,1.5917,1.5917,374348,0
NVDA.US,D,19990312,000000,1.6009,1.6009,1.5364,1.5638,633259,0
NVDA.US,D,19990315,000000,1.6009,1.6467,1.5917,1.6286,751634,0
NVDA.US,D,19990316,000000,1.6376,1.656,1.5638,1.573,546848,0
NVDA.US,D,19990317,000000,1.5917,1.6192,1.5454,1.5823,361628,0
NVDA.US,D,19990318,000000,1.5917,1.6286,1.5547,1.6102,326739,0
NVDA.US,D,19990319,000000,1.6009,1.656,1.6009,1.6102,732716,0
NVDA.US,D,19990322,000000,1.6467,1.6467,1.5638,1.5638,260870,0
NVDA.US,D,19990323,000000,1.573,1.573,1.4351,1.4627,1116845,0
NVDA.US,D,19990324,000000,1.4536,1.4627,1.3986,1.4536,425866,0
NVDA.US,D,19990325,000000,1.4536,1.5364,1.4442,1.4718,281414,0
NVDA.US,D,19990326,000000,1.4997,1.6102,1.4997,1.6102,606848,0
NVDA.US,D,19990329,000000,1.656,1.6925,1.6286,1.656,461739,0
NVDA.US,D,19990330,000000,1.656,1.6745,1.5088,1.5183,480975,0
NVDA.US,D,19990331,000000,1.5638,1.6376,1.4905,1.6192,1043480,0
NVDA.US,D,19990401,000000,1.6192,1.6286,1.5454,1.573,212937,0
NVDA.US,D,19990405,000000,1.5547,1.5917,1.5183,1.5272,680216,0
NVDA.US,D,19990406,000000,1.5364,1.5454,1.4536,1.4813,482933,0
NVDA.US,D,19990407,000000,1.4997,1.6192,1.4813,1.6102,617610,0
NVDA.US,D,19990408,000000,1.6192,1.6838,1.6009,1.6376,885976,0
NVDA.US,D,19990409,000000,1.6467,1.6467,1.6009,1.6102,332607,0
NVDA.US,D,19990412,000000,1.5917,1.5917,1.5183,1.5454,243586,0
NVDA.US,D,19990413,000000,1.573,1.573,1.4536,1.4813,255325,0
NVDA.US,D,19990414,000000,1.4718,1.5088,1.4351,1.4351,329022,0
NVDA.US,D,19990415,000000,1.4718,1.4718,1.4351,1.4718,252067,0
NVDA.US,D,19990416,000000,1.4627,1.5454,1.4627,1.5272,266413,0
NVDA.US,D,19990419,000000,1.5454,1.5454,1.4351,1.4536,222065,0
NVDA.US,D,19990420,000000,1.4536,1.5183,1.4171,1.4257,461739,0
NVDA.US,D,19990421,000000,1.4257,1.4536,1.4171,1.4536,269675,0
NVDA.US,D,19990422,000000,1.4536,1.4536,1.3798,1.3891,1549563,0
NVDA.US,D,19990423,000000,1.3798,1.3891,1.3156,1.3249,861193,0
NVDA.US,D,19990426,000000,1.3249,1.3434,1.2234,1.2513,852388,0
NVDA.US,D,19990427,000000,1.2879,1.3986,1.2605,1.3891,1546955,0
NVDA.US,D,19990428,000000,1.3986,1.3986,1.3343,1.3798,816195,0
NVDA.US,D,19990429,000000,1.3798,1.3891,1.353,1.3798,327716,0
NVDA.US,D,19990430,000000,1.3986,1.4536,1.3798,1.3986,687393,0
NVDA.US,D,19990503,000000,1.4171,1.4171,1.3706,1.4077,230868,0
NVDA.US,D,19990504,000000,1.4077,1.4077,1.3064,1.3343,652824,0
NVDA.US,D,19990505,000000,1.3434,1.3616,1.2605,1.3616,984454,0
NVDA.US,D,19990506,000000,1.353,1.3798,1.2971,1.3343,249781,0
NVDA.US,D,19990507,000000,1.2971,1.353,1.2971,1.3434,173807,0
NVDA.US,D,19990510,000000,1.3343,1.3706,1.3343,1.3434,135651,0
NVDA.US,D,19990511,000000,1.3986,1.4536,1.3706,1.4171,1181086,0
NVDA.US,D,19990512,000000,1.4257,1.4627,1.4077,1.4536,1146519,0
NVDA.US,D,19990513,000000,1.4536,1.4997,1.4536,1.4536,485543,0
NVDA.US,D,19990514,000000,1.4536,1.4536,1.3616,1.3798,210326,0
NVDA.US,D,19990517,000000,1.3616,1.4442,1.353,1.4442,251087,0
NVDA.US,D,19990518,000000,1.4627,1.5364,1.4171,1.5183,1039887,0
NVDA.US,D,19990519,000000,1.5823,1.6376,1.4257,1.4442,3070759,0
NVDA.US,D,19990520,000000,1.4536,1.4536,1.2788,1.3343,1212716,0
NVDA.US,D,19990521,000000,1.3156,1.3156,1.2605,1.3064,2066086,0
NVDA.US,D,19990524,000000,1.3156,1.3434,1.2788,1.2971,1121087,0
NVDA.US,D,19990525,000000,1.3064,1.3249,1.2971,1.3064,885652,0
NVDA.US,D,19990526,000000,1.3064,1.3706,1.3064,1.3064,726522,0
NVDA.US,D,19990527,000000,1.3156,1.3156,1.2971,1.2971,561849,0
NVDA.US,D,19990528,000000,1.3156,1.3156,1.2971,1.3064,610760,0
NVDA.US,D,19990601,000000,1.3064,1.3156,1.2879,1.3156,679239,0
NVDA.US,D,19990602,000000,1.3156,1.3156,1.2605,1.2605,885976,0
NVDA.US,D,19990603,000000,1.2971,1.3064,1.2879,1.2971,294458,0
NVDA.US,D,19990604,000000,1.3064,1.3156,1.2971,1.3064,544238,0
NVDA.US,D,19990607,000000,1.3156,1.3434,1.3156,1.3249,851412,0
NVDA.US,D,19990608,000000,1.3249,1.3798,1.3249,1.353,1058804,0
NVDA.US,D,19990609,000000,1.3616,1.4077,1.3616,1.3798,661957,0
NVDA.US,D,19990610,000000,1.3798,1.3891,1.3706,1.3798,254671,0
NVDA.US,D,19990611,000000,1.3798,1.3891,1.3064,1.353,427498,0
NVDA.US,D,19990614,000000,1.3616,1.3616,1.2971,1.3064,364890,0
NVDA.US,D,19990615,000000,1.3064,1.3156,1.2879,1.3064,339781,0
NVDA.US,D,19990616,000000,1.3249,1.3798,1.3064,1.3434,445436,0
NVDA.US,D,19990617,000000,1.3343,1.353,1.3064,1.3064,520108,0
NVDA.US,D,19990618,000000,1.3156,1.3156,1.2513,1.2513,1079673,0
NVDA.US,D,19990621,000000,1.2971,1.3249,1.2605,1.3249,574240,0
NVDA.US,D,19990622,000000,1.3249,1.3249,1.2696,1.2971,1315432,0
NVDA.US,D,19990623,000000,1.2879,1.3249,1.2696,1.3249,1450106,0
NVDA.US,D,19990624,000000,1.3343,1.3343,1.2879,1.2971,782608,0
NVDA.US,D,19990625,000000,1.2879,1.3249,1.2879,1.3156,505436,0
NVDA.US,D,19990628,000000,1.353,1.353,1.3064,1.3343,755214,0
NVDA.US,D,19990629,000000,1.353,1.3616,1.3343,1.3434,635218,0
NVDA.US,D,19990630,000000,1.3891,1.4627,1.3616,1.4627,1830650,0
NVDA.US,D,19990701,000000,1.4627,1.4627,1.3156,1.3891,614343,0
NVDA.US,D,19990702,000000,1.4077,1.4905,1.3798,1.4905,1543369,0
NVDA.US,D,19990706,000000,1.5088,1.5088,1.4718,1.4997,1350652,0
NVDA.US,D,19990707,000000,1.5088,1.5088,1.4627,1.4627,431414,0
NVDA.US,D,19990708,000000,1.4718,1.5272,1.4257,1.4997,1277933,0
NVDA.US,D,19990709,000000,1.4997,1.6376,1.4997,1.6286,1440325,0
NVDA.US,D,19990712,000000,1.7204,1.7755,1.656,1.7018,2734563,0
NVDA.US,D,19990713,000000,1.7204,1.7296,1.6286,1.7018,960325,0
NVDA.US,D,19990714,000000,1.7018,1.7478,1.6286,1.6376,950866,0
NVDA.US,D,19990715,000000,1.656,1.7018,1.6467,1.6467,941085,0
NVDA.US,D,19990716,000000,1.6745,1.6925,1.6467,1.6838,717392,0
NVDA.US,D,19990719,000000,1.6838,1.6925,1.6286,1.6376,298043,0
NVDA.US,D,19990720,000000,1.6376,1.6376,1.5547,1.6102,1218911,0
NVDA.US,D,19990721,000000,1.5917,1.5917,1.5183,1.5638,767935,0
NVDA.US,D,19990722,000000,1.5547,1.5547,1.4718,1.4905,1456629,0
NVDA.US,D,19990723,000000,1.4813,1.5364,1.4813,1.4905,558260,0
NVDA.US,D,19990726,000000,1.5272,1.5272,1.4997,1.4997,422282,0
NVDA.US,D,19990727,000000,1.4997,1.5088,1.4718,1.4997,679565,0
NVDA.US,D,19990728,000000,1.4997,1.5454,1.4905,1.5272,1675433,0
NVDA.US,D,19990729,000000,1.4997,1.5454,1.4813,1.5364,2641300,0
NVDA.US,D,19990730,000000,1.5364,1.5823,1.5364,1.5454,3076951,0
NVDA.US,D,19990802,000000,1.5454,1.5638,1.5364,1.5547,2133908,0
NVDA.US,D,19990803,000000,1.5547,1.5547,1.5088,1.5183,1737064,0
NVDA.US,D,19990804,000000,1.5272,1.5364,1.5183,1.5183,624781,0
NVDA.US,D,19990805,000000,1.5183,1.5454,1.4997,1.5454,1636630,0
NVDA.US,D,19990806,000000,1.5364,1.5454,1.5364,1.5454,1256084,0
NVDA.US,D,19990809,000000,1.5454,1.5638,1.5364,1.5454,219458,0
NVDA.US,D,19990810,000000,1.5547,1.6376,1.5454,1.573,1443914,0
NVDA.US,D,19990811,000000,1.6009,1.6925,1.5823,1.6745,1346739,0
NVDA.US,D,19990812,000000,1.6838,1.8032,1.6745,1.7573,1644782,0
NVDA.US,D,19990813,000000,1.7478,1.7755,1.7204,1.7392,586955,0
NVDA.US,D,19990816,000000,1.7573,1.7573,1.6102,1.6745,1528040,0
NVDA.US,D,19990817,000000,1.6745,1.7018,1.6376,1.6745,1320652,0
NVDA.US,D,19990818,000000,1.656,1.7392,1.6286,1.7112,1906958,0
NVDA.US,D,19990819,000000,1.8401,2.1711,1.7755,2.0792,13377050,0
NVDA.US,D,19990820,000000,2.0882,2.0975,1.9872,2.0611,2408800,0
NVDA.US,D,19990823,000000,2.0333,2.0333,1.8676,1.9318,3466305,0
NVDA.US,D,19990824,000000,1.9044,1.9413,1.8126,1.9227,2721192,0
NVDA.US,D,19990825,000000,1.9318,1.9504,1.8401,1.9138,2398366,0
NVDA.US,D,19990826,000000,1.9138,1.9413,1.8583,1.8859,1877607,0
NVDA.US,D,19990827,000000,1.9227,2.0703,1.9138,1.9965,3753910,0
NVDA.US,D,19990830,000000,2.0239,2.0703,1.9044,1.9872,1078696,0
NVDA.US,D,19990831,000000,1.9965,2.162,1.9596,2.1528,5362494,0
NVDA.US,D,19990901,000000,2.1528,2.1528,2.0239,2.0518,3854992,0
NVDA.US,D,19990902,000000,1.9872,2.0425,1.9413,2.0333,2318149,0
NVDA.US,D,19990903,000000,2.0703,2.0975,2.0333,2.0425,1775541,0
NVDA.US,D,19990907,000000,2.0792,2.0792,2.0239,2.0333,862172,0
NVDA.US,D,19990908,000000,2.0425,2.0518,2.0333,2.0333,1163151,0
NVDA.US,D,19990909,000000,2.0518,2.0703,1.9687,2.0055,1434781,0
NVDA.US,D,19990910,000000,2.0333,2.0611,2.0239,2.0333,1153693,0
NVDA.US,D,19990913,000000,2.0425,2.0425,1.9413,1.9687,1191194,0
NVDA.US,D,19990914,000000,1.9687,1.9687,1.8953,1.9044,1703802,0
NVDA.US,D,19990915,000000,1.8859,1.9413,1.8676,1.9227,1451086,0
NVDA.US,D,19990916,000000,1.8953,1.9138,1.849,1.8766,1091413,0
NVDA.US,D,19990917,000000,1.8583,1.8766,1.8032,1.8676,1180108,0
NVDA.US,D,19990920,000000,1.8401,1.8583,1.8032,1.8032,1569779,0
NVDA.US,D,19990921,000000,1.7662,1.7755,1.6102,1.6286,5020104,0
NVDA.US,D,19990922,000000,1.6286,1.6745,1.5364,1.6652,2560431,0
NVDA.US,D,19990923,000000,1.6745,1.6745,1.5183,1.5272,2579995,0
NVDA.US,D,19990924,000000,1.5364,1.573,1.2879,1.3891,4665648,0
NVDA.US,D,19990927,000000,1.4813,1.5088,1.3891,1.4718,2934780,0
NVDA.US,D,19990928,000000,1.4813,1.6286,1.4718,1.6102,2808258,0
NVDA.US,D,19990929,000000,1.6467,1.7018,1.4536,1.4813,4049671,0
NVDA.US,D,19990930,000000,1.5364,1.5823,1.4536,1.4718,2333476,0
NVDA.US,D,19991001,000000,1.4536,1.5088,1.3891,1.4627,2370650,0
NVDA.US,D,19991004,000000,1.5183,1.5183,1.4718,1.4997,1206521,0
NVDA.US,D,19991005,000000,1.4997,1.6467,1.4997,1.6376,3258909,0
NVDA.US,D,19991006,000000,1.6467,1.9138,1.6286,1.8401,10255422,0
NVDA.US,D,19991007,000000,1.9138,1.9138,1.7018,1.7112,3319885,0
NVDA.US,D,19991008,000000,1.7112,1.8583,1.6467,1.8032,2712059,0
NVDA.US,D,19991011,000000,1.8126,1.8217,1.7018,1.7573,3706629,0
NVDA.US,D,19991012,000000,1.7662,1.7849,1.7204,1.7296,2199456,0
NVDA.US,D,19991013,000000,1.7112,1.7112,1.6467,1.6838,1912172,0
NVDA.US,D,19991014,000000,1.6838,1.6838,1.6286,1.6467,1307933,0
NVDA.US,D,19991015,000000,1.5638,1.6467,1.5638,1.6376,1448149,0
NVDA.US,D,19991018,000000,1.6467,1.6467,1.5454,1.5547,1477175,0
NVDA.US,D,19991019,000000,1.6009,1.6009,1.4627,1.4905,2105214,0
NVDA.US,D,19991020,000000,1.5183,1.5638,1.4905,1.5454,2381082,0
NVDA.US,D,19991021,000000,1.5364,1.6102,1.4997,1.6102,2607060,0
NVDA.US,D,19991022,000000,1.6102,1.7018,1.6102,1.656,1961738,0
NVDA.US,D,19991025,000000,1.6467,1.6652,1.573,1.573,1462826,0
NVDA.US,D,19991026,000000,1.6376,1.7849,1.6286,1.7204,3274236,0
NVDA.US,D,19991027,000000,1.7392,1.7478,1.6192,1.6467,1465760,0
NVDA.US,D,19991028,000000,1.656,1.6838,1.5638,1.573,1520869,0
NVDA.US,D,19991029,000000,1.5917,1.7204,1.5823,1.6925,2261085,0
NVDA.US,D,19991101,000000,1.6652,1.8676,1.6652,1.8032,5316841,0
NVDA.US,D,19991102,000000,1.8401,1.9227,1.8217,1.9138,5698365,0
NVDA.US,D,19991103,000000,1.9965,2.1528,1.978,2.1065,13668247,0
NVDA.US,D,19991104,000000,2.1252,2.3002,2.1252,2.2355,8572489,0
NVDA.US,D,19991105,000000,2.3002,2.3182,2.0611,2.162,4194778,0
NVDA.US,D,19991108,000000,2.0975,2.2907,2.0333,2.2263,3209997,0
NVDA.US,D,19991109,000000,2.2263,2.2355,2.1065,2.1989,1863910,0
NVDA.US,D,19991110,000000,2.1989,2.208,2.1344,2.1711,978911,0
NVDA.US,D,19991111,000000,2.1711,2.4472,2.1252,2.3279,3826954,0
NVDA.US,D,19991112,000000,2.4289,2.4567,2.2907,2.4567,3415756,0
NVDA.US,D,19991115,000000,2.475,2.5484,2.3645,2.4012,2469127,0
NVDA.US,D,19991117,000000,2.6862,2.8791,2.6405,2.7327,5357603,0
NVDA.US,D,19991118,000000,2.7966,2.8151,2.7233,2.7418,1605976,0
NVDA.US,D,19991119,000000,3.0729,3.404,3.0637,3.2844,14710745,0
NVDA.US,D,19991122,000000,3.3669,3.3765,3.082,3.2844,3679561,0
NVDA.US,D,19991123,000000,2.944,3.082,2.9167,3.0453,3763366,0
NVDA.US,D,19991124,000000,3.0359,3.0637,2.7233,2.9532,2777932,0
NVDA.US,D,19991126,000000,2.9257,2.9532,2.8334,2.9349,504781,0
NVDA.US,D,19991129,000000,2.9257,2.9624,2.76,2.8244,2032496,0
